launch_service_provider,mission,name,net,pad,rocket,status
Orbital Sciences Corporation,—,"Pegasus | Pegsat, NavySat",04/05/1990 7:10 p.m.,Edwards Air Force Base | Air launch to orbit,Pegasus,Launch Successful
Orbital Sciences Corporation,—,Pegasus HAPS | 7 microsats,07/17/1991 5:33 p.m.,Edwards Air Force Base | Air launch to orbit,Pegasus HAPS,Launch Successful
Orbital Sciences Corporation,—,Pegasus | Satélite de Coleta de Dados-1 (SCD-1),02/09/1993 2:30 p.m.,Cape Canaveral | Air launch to orbit,Pegasus,Launch Successful
Orbital Sciences Corporation,—,Pegasus | Array of Low Energy X-ray Imaging Sensors (ALEXIS),04/25/1993 1:56 p.m.,Edwards Air Force Base | Air launch to orbit,Pegasus,Launch Successful
Orbital Sciences Corporation,STEP 0 & DARPASAT,Minotaur | STEP 0 & DARPASAT,03/13/1994 10:32 p.m.,"Space Launch Complex 576E | Vandenberg SFB, CA, USA",Minotaur,Launch Successful
Orbital Sciences Corporation,—,Pegasus HAPS | Space Test Experiments Platform 2 (STEP-2),05/19/1994 5:03 p.m.,Edwards Air Force Base | Air launch to orbit,Pegasus HAPS,Launch Successful
Orbital Sciences Corporation,—,Pegasus XL | Space Test Experiments Platform 1 (STEP-1),06/27/1994 9:15 p.m.,Vandenberg Space Force Base | Air launch to orbit,Pegasus XL,Launch Failure
Orbital Sciences Corporation,APEX,Pegasus | APEX,08/03/1994 2:38 p.m.,Edwards Air Force Base | Air launch to orbit,Pegasus,Launch Successful
Orbital Sciences Corporation,—,Pegasus Hybrid | Orbcomm F1 - F2 & OrbView-1,04/03/1995 1:48 p.m.,Vandenberg Space Force Base | Air launch to orbit,Pegasus Hybrid,Launch Successful
Orbital Sciences Corporation,—,Pegasus XL | Space Test Experiments Platform-3 (STEP-3),06/22/1995 7:58 p.m.,Vandenberg Space Force Base | Air launch to orbit,Pegasus XL,Launch Failure
Orbital Sciences Corporation,—,Pegasus XL | REX II,03/09/1996 1:53 a.m.,Vandenberg Space Force Base | Air launch to orbit,Pegasus XL,Launch Successful
Orbital Sciences Corporation,—,Pegasus Hybrid | Miniature Sensor Technology Integration 3 (MSTI-3),05/17/1996 2:44 a.m.,Vandenberg Space Force Base | Air launch to orbit,Pegasus Hybrid,Launch Successful
Orbital Sciences Corporation,—,Pegasus XL | Total Ozone Mapping Spectrometer (TOMS),07/02/1996 7:48 a.m.,Vandenberg Space Force Base | Air launch to orbit,Pegasus XL,Launch Successful
Orbital Sciences Corporation,—,Pegasus XL | Fast Auroral Snapshot Explorer (FAST),08/21/1996 9:47 a.m.,Vandenberg Space Force Base | Air launch to orbit,Pegasus XL,Launch Successful
Orbital Sciences Corporation,—,Pegasus XL | High Energy Transient Explorer (HETE) & Satelite de Aplicaciones Cientificas-B (SAC-B),11/04/1996 5:08 p.m.,Wallops Flight Facility | Air launch to orbit,Pegasus XL,Launch Failure
Orbital Sciences Corporation,—,Pegasus XL | Minisat & Celestis Space Burial #1,04/21/1997 11:59 a.m.,Gran Canaria | Air launch to orbit,Pegasus XL,Launch Successful
Orbital Sciences Corporation,—,Pegasus XL | OrbView-2,08/01/1997 8:20 p.m.,Vandenberg Space Force Base | Air launch to orbit,Pegasus XL,Launch Successful
